Timestamp,Temperature,Precipitation,Wind Speed,Wind Direction
20200926T1800,13.430647,0,13.450708,254.47589
20200926T1900,10.340647,0,12.181625,251.0296
20200926T2000,8.460647,0,11.609651,240.25513
20200926T2100,7.230646,0,11.480557,228.81409
20200926T2200,6.140646,0,10.739832,219.55966
20200926T2300,5.030646,0,9.021574,208.61046
20200927T0000,3.8806462,0,8.654986,196.92752
20200927T0100,2.9406462,0,8.311245,184.96974
20200927T0200,2.2206464,0,7.69592,169.2157
20200927T0300,2.5406463,0,5.8603754,227.48956
20200927T0400,2.2506464,0,3.5455887,203.9625
20200927T0500,2.1306462,0,3.9763298,174.80557
20200927T0600,2.0206463,0,3.8939953,146.30994
20200927T0700,4.270646,0,3.0758414,110.556046
20200927T0800,9.790647,0,0.71999997,270
20200927T0900,12.650646,0,5.7599998,270
20200927T1000,14.700646,0,12.496719,281.63364
20200927T1100,16.350647,0,15.745627,280.53918
20200927T1200,17.540646,0,18.228943,279.09027
20200927T1300,18.370647,0,19.852295,274.15967
20200927T1400,18.800646,0,20.883104,270.98776
20200927T1500,18.820646,0,22.751316,274.53778
20200927T1600,18.030647,0,24.842607,270.83032
20200927T1700,16.830647,0,22.033648,265.31412
20200927T1800,12.8306465,0,12.7279215,261.8699
20200927T1900,10.210647,0,10.829959,254.57785
20200927T2000,8.960647,0,7.928177,230.52754
20200927T2100,7.510646,0,8.766573,199.17902
20200927T2200,6.250646,0,10.105681,184.08562
20200927T2300,5.3406463,0,9.726665,177.8789
20200928T0000,4.560646,0,8.28,180
20200928T0100,4.500646,0,5.506941,191.30994
20200928T0200,3.6406462,0,3.6,180
20200928T0300,3.4806464,0,5.0911684,225
20200928T0400,3.1006463,0,3.8268526,221.18593
20200928T0500,2.5506463,0,3.6179552,174.28941
20200928T0600,2.3506463,0,4.6938257,122.47119
20200928T0700,4.410646,0,5.0528407,94.08562
20200928T0800,10.8306465,0,3.0547013,44.999985
20200928T0900,13.790647,0,3.96,360
20200928T1000,15.370646,0,8.669949,318.36646
20200928T1100,16.880646,0,11.384198,304.69516
20200928T1200,18.030647,0,13.570615,291.8014
20200928T1300,18.840647,0,15.745627,280.53918
20200928T1400,19.250647,0,17.654688,272.3373
20200928T1500,19.390646,0,17.283749,271.19348
20200928T1600,18.780647,0,16.93531,267.56335
20200928T1700,17.660646,0,15.683776,260.7539
20200928T1800,14.120646,0,10.948973,260.5377
20200928T1900,11.150646,0,10.041354,255.46555
20200928T2000,9.860646,0,8.373386,244.53665
20200928T2100,9.060646,0,6.696387,233.74615
20200928T2200,8.040647,0,6.297428,210.96376
20200928T2300,6.290646,0,8.28,180
20200929T0000,4.8406463,0,11.384199,161.56505
20200929T0100,3.7006462,0,11.435313,151.82141
20200929T0200,2.9106462,0,11.435313,151.82141
20200929T0300,2.2006462,0,11.440979,155.85446
20200929T0400,1.4506462,0,11.753877,152.65012
20200929T0500,0.4406462,0,11.983188,147.26477
20200929T0600,-1.0793538,0,12.538134,140.82634
20200929T0700,2.5206463,0,10.182337,135
20200929T0800,10.910646,0,13.089354,121.50426
20200929T0900,15.700646,0,9.83268,113.7495
20200929T1000,17.430647,0,8.12197,167.19574
20200929T1100,18.920647,0,7.6367526,188.1301
20200929T1200,20.000647,0,8.891344,201.37062
20200929T1300,20.790646,0,9.983106,205.641
20200929T1400,21.160646,0,10.948973,207.40758
20200929T1500,21.110647,0,11.753877,207.34988
20200929T1600,20.520647,0,13.37825,203.80594
20200929T1700,19.250647,0,14.799459,198.43495
20200929T1800,14.780646,0,12.522619,198.43495
20200929T1900,11.740646,0,13.661038,198.43495
20200929T2000,8.960647,0,15.188415,185.44034
20200929T2100,7.170646,0,14.561099,171.46924
20200929T2200,5.530646,0,14.003029,162.03085
20200929T2300,4.950646,0,11.609651,150.25511
